,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1916733.454776359,-0.064755,-0.224496,0.593787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1916733.459689689,-0.064755,-0.224496,0.593787,0.000590,-0.000062,0.000183,0.000075,0.000020,-0.000168
2,1916733.464633537,-0.064752,-0.224495,0.593788,0.001057,-0.000098,0.000497,0.000150,0.000040,-0.000338
3,1916733.469607902,-0.064747,-0.224495,0.593790,0.001538,-0.000213,0.000878,0.000225,0.000061,-0.000508
4,1916733.474551750,-0.064739,-0.224495,0.593795,0.002120,-0.000431,0.001239,0.000300,0.000081,-0.000678
5,1916733.479465080,-0.064729,-0.224496,0.593801,0.002803,-0.000700,0.001513,0.000375,0.000101,-0.000846
6,1916733.484378410,-0.064715,-0.224498,0.593808,0.003571,-0.001000,0.001790,0.000449,0.000121,-0.001015
7,1916733.489322257,-0.064697,-0.224501,0.593817,0.004307,-0.001342,0.002104,0.000524,0.000142,-0.001184
8,1916733.494266105,-0.064675,-0.224504,0.593828,0.005116,-0.001669,0.002323,0.000599,0.000162,-0.001353
9,1916733.499209953,-0.064649,-0.224509,0.593840,0.005880,-0.002155,0.002441,0.000674,0.000182,-0.001523
10,1916733.504153800,-0.064619,-0.224516,0.593852,0.006466,-0.002582,0.002575,0.000749,0.000203,-0.001692
11,1916733.509067130,-0.064586,-0.224525,0.593865,0.006775,-0.002917,0.002684,0.000824,0.000223,-0.001861
12,1916733.514010978,-0.064551,-0.224535,0.593879,0.007041,-0.003053,0.002757,0.000899,0.000243,-0.002030
13,1916733.518924308,-0.064515,-0.224546,0.593893,0.007081,-0.002970,0.002667,0.000973,0.000263,-0.002199
14,1916733.523868156,-0.064478,-0.224556,0.593906,0.007111,-0.002694,0.002637,0.001048,0.000284,-0.002368
15,1916733.528812003,-0.064442,-0.224565,0.593920,0.006974,-0.002248,0.002620,0.001123,0.000304,-0.002537
16,1916733.533755851,-0.064406,-0.224572,0.593933,0.006791,-0.001808,0.002572,0.001198,0.000324,-0.002707
17,1916733.538699699,-0.064372,-0.224576,0.593946,0.006504,-0.001370,0.002457,0.001273,0.000344,-0.002876
18,1916733.543643546,-0.064340,-0.224579,0.593958,0.006236,-0.000897,0.002258,0.001348,0.000365,-0.003046
19,1916733.548587394,-0.064308,-0.224580,0.593970,0.005978,-0.000488,0.002090,0.001423,0.000385,-0.003215
20,1916733.553531242,-0.064279,-0.224579,0.593980,0.005893,-0.000141,0.002105,0.001498,0.000405,-0.003385
21,1916733.558475089,-0.064250,-0.224576,0.593991,0.005700,0.000016,0.002218,0.001573,0.000426,-0.003554
22,1916733.563388419,-0.064222,-0.224572,0.594002,0.005454,-0.000091,0.002409,0.001648,0.000446,-0.003722
23,1916733.568332267,-0.064195,-0.224569,0.594014,0.005132,-0.000330,0.002558,0.001723,0.000466,-0.003892
24,1916733.573276115,-0.064170,-0.224568,0.594026,0.004779,-0.000919,0.002612,0.001798,0.000486,-0.004061
25,1916733.578219962,-0.064146,-0.224569,0.594039,0.004285,-0.001653,0.002877,0.001873,0.000507,-0.004231
26,1916733.583163810,-0.064124,-0.224575,0.594054,0.003656,-0.002299,0.003157,0.001948,0.000527,-0.004400
27,1916733.588077140,-0.064105,-0.224583,0.594070,0.002973,-0.002932,0.003460,0.002022,0.000547,-0.004569
28,1916733.593020988,-0.064089,-0.224596,0.594087,0.002432,-0.003607,0.003577,0.002097,0.000567,-0.004738
29,1916733.597964836,-0.064075,-0.224612,0.594105,0.001852,-0.004286,0.003727,0.002172,0.000588,-0.004908
30,1916733.602908683,-0.064064,-0.224631,0.594124,0.001389,-0.004911,0.003849,0.002247,0.000608,-0.005077
31,1916733.607822013,-0.064054,-0.224654,0.594143,0.001092,-0.005155,0.003978,0.002322,0.000628,-0.005245
32,1916733.612765861,-0.064046,-0.224679,0.594163,0.000944,-0.005106,0.003875,0.002397,0.000648,-0.005415
33,1916733.617709709,-0.064038,-0.224703,0.594183,0.000868,-0.004852,0.003676,0.002472,0.000669,-0.005584
34,1916733.622623039,-0.064031,-0.224726,0.594201,0.000824,-0.004392,0.003333,0.002547,0.000689,-0.005753
35,1916733.627566886,-0.064025,-0.224747,0.594218,0.000862,-0.003704,0.002836,0.002622,0.000709,-0.005922
36,1916733.632510734,-0.064019,-0.224764,0.594233,0.001014,-0.003039,0.002298,0.002697,0.000729,-0.006092
37,1916733.637424064,-0.064012,-0.224778,0.594244,0.001197,-0.002334,0.001789,0.002771,0.000750,-0.006260
38,1916733.642337394,-0.064005,-0.224789,0.594253,0.001486,-0.001602,0.001134,0.002846,0.000770,-0.006428
39,1916733.647311759,-0.063997,-0.224796,0.594259,0.001848,-0.000847,0.000362,0.002921,0.000790,-0.006599
40,1916733.652255607,-0.063987,-0.224799,0.594261,0.002188,-0.000165,-0.000246,0.002996,0.000811,-0.006768
41,1916733.657199455,-0.063976,-0.224798,0.594260,0.002305,0.000324,-0.000721,0.003071,0.000831,-0.006938
42,1916733.662143302,-0.063965,-0.224795,0.594256,0.002391,0.000803,-0.001111,0.003146,0.000851,-0.007107
43,1916733.667087150,-0.063954,-0.224790,0.594251,0.002343,0.001042,-0.001379,0.003221,0.000871,-0.007277
44,1916733.672030998,-0.063943,-0.224784,0.594244,0.002117,0.001157,-0.001481,0.003296,0.000892,-0.007446
45,1916733.676944328,-0.063933,-0.224777,0.594236,0.001965,0.001216,-0.001489,0.003371,0.000912,-0.007614
46,1916733.681888175,-0.063924,-0.224770,0.594229,0.001767,0.001238,-0.001531,0.003446,0.000932,-0.007784
47,1916733.686832023,-0.063916,-0.224763,0.594221,0.001392,0.001165,-0.001347,0.003521,0.000952,-0.007953
48,1916733.691775871,-0.063910,-0.224757,0.594215,0.001009,0.001144,-0.001083,0.003596,0.000973,-0.008123
49,1916733.696719718,-0.063906,-0.224750,0.594209,0.000449,0.001225,-0.000877,0.003671,0.000993,-0.008292
50,1916733.701633048,-0.063904,-0.224744,0.594205,-0.000001,0.001326,-0.000913,0.003745,0.001013,-0.008461
51,1916733.706576896,-0.063905,-0.224738,0.594200,-0.000366,0.001465,-0.000947,0.003820,0.001033,-0.008630
52,1916733.711520744,-0.063907,-0.224731,0.594195,-0.000587,0.001793,-0.001014,0.003895,0.001054,-0.008799
53,1916733.716464591,-0.063911,-0.224723,0.594190,-0.000708,0.002212,-0.001043,0.003970,0.001074,-0.008969
54,1916733.721377921,-0.063916,-0.224712,0.594185,-0.000761,0.002675,-0.001009,0.004045,0.001094,-0.009137
55,1916733.726321769,-0.063921,-0.224700,0.594180,-0.000725,0.003178,-0.001193,0.004120,0.001114,-0.009307
56,1916733.731265617,-0.063927,-0.224685,0.594173,-0.000889,0.003478,-0.001364,0.004195,0.001135,-0.009476
57,1916733.736209464,-0.063933,-0.224668,0.594166,-0.001099,0.003505,-0.001569,0.004270,0.001155,-0.009646
58,1916733.741153312,-0.063940,-0.224652,0.594158,-0.001575,0.003342,-0.001478,0.004345,0.001175,-0.009815
59,1916733.746097160,-0.063950,-0.224636,0.594151,-0.002199,0.003317,-0.001186,0.004420,0.001196,-0.009985
60,1916733.751010490,-0.063963,-0.224621,0.594145,-0.002825,0.002998,-0.000578,0.004494,0.001216,-0.010153
61,1916733.755954337,-0.063978,-0.224608,0.594141,-0.003767,0.002477,-0.000105,0.004569,0.001236,-0.010322
62,1916733.760898185,-0.063998,-0.224599,0.594141,-0.004806,0.002001,0.000516,0.004644,0.001256,-0.010492
63,1916733.765842033,-0.064023,-0.224591,0.594143,-0.005856,0.001408,0.001370,0.004719,0.001277,-0.010661
64,1916733.770785880,-0.064053,-0.224588,0.594149,-0.006817,0.000909,0.002180,0.004794,0.001297,-0.010831
65,1916733.775699211,-0.064086,-0.224587,0.594160,-0.007620,0.000805,0.002892,0.004869,0.001317,-0.010999
66,1916733.780643058,-0.064124,-0.224587,0.594174,-0.008437,0.000928,0.003257,0.004944,0.001337,-0.011169
67,1916733.785586906,-0.064166,-0.224588,0.594190,-0.009139,0.001169,0.003404,0.005019,0.001358,-0.011338
68,1916733.790530753,-0.064212,-0.224587,0.594207,-0.009666,0.001497,0.003353,0.005094,0.001378,-0.011507
69,1916733.795474601,-0.064260,-0.224585,0.594223,-0.009954,0.002053,0.003244,0.005169,0.001398,-0.011677
70,1916733.800387931,-0.064310,-0.224580,0.594238,-0.010031,0.002558,0.002824,0.005243,0.001418,-0.011845
71,1916733.805331779,-0.064361,-0.224573,0.594252,-0.010119,0.003124,0.002327,0.005318,0.001439,-0.012015
72,1916733.810275627,-0.064413,-0.224564,0.594263,-0.009874,0.003730,0.001916,0.005394,0.001459,-0.012184
73,1916733.815219474,-0.064463,-0.224551,0.594272,-0.009650,0.004308,0.001421,0.005469,0.001479,-0.012354
74,1916733.820163322,-0.064513,-0.224535,0.594279,-0.009307,0.004956,0.000983,0.005544,0.001500,-0.012523
75,1916733.825076652,-0.064562,-0.224517,0.594283,-0.008992,0.005481,0.000657,0.005618,0.001520,-0.012691
76,1916733.829989982,-0.064609,-0.224495,0.594285,-0.008732,0.005789,0.000429,0.005693,0.001540,-0.012860
77,1916733.834933830,-0.064655,-0.224472,0.594287,-0.008593,0.005859,0.000213,0.005768,0.001560,-0.013029
78,1916733.839877677,-0.064701,-0.224448,0.594287,-0.008472,0.005726,0.000086,0.005843,0.001581,-0.013199
79,1916733.844821525,-0.064745,-0.224425,0.594287,-0.008101,0.005428,0.000089,0.005918,0.001601,-0.013368
80,1916733.849765373,-0.064788,-0.224403,0.594287,-0.007609,0.005162,0.000195,0.005993,0.001621,-0.013538
81,1916733.854678703,-0.064828,-0.224382,0.594287,-0.006970,0.004744,0.000299,0.006067,0.001641,-0.013706
82,1916733.859622550,-0.064865,-0.224363,0.594288,-0.006060,0.004348,0.000542,0.006142,0.001662,-0.013875
83,1916733.864566398,-0.064898,-0.224345,0.594291,-0.005103,0.003951,0.000461,0.006217,0.001682,-0.014045
84,1916733.869510246,-0.064925,-0.224328,0.594292,-0.004173,0.003579,0.000363,0.006292,0.001702,-0.014214
85,1916733.874423576,-0.064948,-0.224313,0.594294,-0.003127,0.003431,0.000166,0.006367,0.001722,-0.014383
86,1916733.879367423,-0.064965,-0.224298,0.594294,-0.001969,0.003211,-0.000044,0.006442,0.001743,-0.014552
87,1916733.884311271,-0.064976,-0.224284,0.594294,-0.000882,0.003266,-0.000372,0.006517,0.001763,-0.014722
