,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1916733.454776359,-0.012173,0.000674,0.058398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1916733.459689689,-0.012173,0.000674,0.058398,0.000590,-0.000062,0.000183,0.000000,0.000000,0.000000
2,1916733.464633537,-0.012170,0.000674,0.058399,0.001056,-0.000099,0.000497,0.000000,0.000000,0.000000
3,1916733.469607902,-0.012165,0.000673,0.058401,0.001536,-0.000214,0.000879,0.000000,0.000000,0.000000
4,1916733.474551750,-0.012157,0.000672,0.058406,0.002117,-0.000435,0.001242,0.000000,0.000000,0.000000
5,1916733.479465080,-0.012147,0.000670,0.058412,0.002798,-0.000706,0.001518,0.000000,0.000000,0.000000
6,1916733.484378410,-0.012133,0.000667,0.058419,0.003564,-0.001009,0.001797,0.000000,0.000000,0.000000
7,1916733.489322257,-0.012115,0.000662,0.058428,0.004298,-0.001355,0.002114,0.000000,0.000000,0.000000
8,1916733.494266105,-0.012094,0.000655,0.058439,0.005103,-0.001687,0.002337,0.000000,0.000000,0.000000
9,1916733.499209953,-0.012069,0.000647,0.058450,0.005864,-0.002178,0.002459,0.000000,0.000000,0.000000
10,1916733.504153800,-0.012040,0.000636,0.058462,0.006446,-0.002611,0.002597,0.000000,0.000000,0.000000
11,1916733.509067130,-0.012008,0.000623,0.058475,0.006750,-0.002952,0.002711,0.000000,0.000000,0.000000
12,1916733.514010978,-0.011975,0.000608,0.058488,0.007010,-0.003095,0.002789,0.000000,0.000000,0.000000
13,1916733.518924308,-0.011941,0.000593,0.058502,0.007046,-0.003019,0.002705,0.000000,0.000000,0.000000
14,1916733.523868156,-0.011906,0.000578,0.058516,0.007069,-0.002751,0.002681,0.000000,0.000000,0.000000
15,1916733.528812003,-0.011871,0.000565,0.058529,0.006926,-0.002314,0.002671,0.000000,0.000000,0.000000
16,1916733.533755851,-0.011836,0.000553,0.058542,0.006736,-0.001884,0.002630,0.000000,0.000000,0.000000
17,1916733.538699699,-0.011803,0.000544,0.058555,0.006442,-0.001456,0.002523,0.000000,0.000000,0.000000
18,1916733.543643546,-0.011771,0.000537,0.058568,0.006166,-0.000994,0.002332,0.000000,0.000000,0.000000
19,1916733.548587394,-0.011741,0.000532,0.058579,0.005899,-0.000596,0.002173,0.000000,0.000000,0.000000
20,1916733.553531242,-0.011712,0.000529,0.058590,0.005806,-0.000262,0.002197,0.000000,0.000000,0.000000
