,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1916733.454776359,0.022127,-0.877550,0.577127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1916733.459689689,0.022127,-0.877550,0.577127,0.000575,0.000145,0.000183,0.000030,-0.000006,-0.000142
2,1916733.464633537,0.022130,-0.877550,0.577128,0.001026,0.000271,0.000497,0.000060,-0.000012,-0.000284
3,1916733.469607902,0.022136,-0.877549,0.577130,0.001517,0.000328,0.000878,0.000090,-0.000018,-0.000427
4,1916733.474551750,0.022143,-0.877549,0.577135,0.002138,0.000322,0.001239,0.000120,-0.000023,-0.000570
5,1916733.479465080,0.022154,-0.877549,0.577141,0.002871,0.000304,0.001513,0.000150,-0.000029,-0.000712
6,1916733.484378410,0.022168,-0.877550,0.577148,0.003695,0.000285,0.001790,0.000180,-0.000035,-0.000853
7,1916733.489322257,0.022186,-0.877551,0.577157,0.004502,0.000215,0.002104,0.000210,-0.000041,-0.000996
8,1916733.494266105,0.022208,-0.877554,0.577168,0.005373,0.000184,0.002323,0.000240,-0.000047,-0.001138
9,1916733.499209953,0.022234,-0.877557,0.577179,0.006256,-0.000011,0.002441,0.000270,-0.000053,-0.001281
10,1916733.504153800,0.022265,-0.877562,0.577192,0.006952,-0.000213,0.002575,0.000300,-0.000059,-0.001423
11,1916733.509067130,0.022298,-0.877569,0.577205,0.007356,-0.000424,0.002684,0.000330,-0.000064,-0.001565
12,1916733.514010978,0.022334,-0.877577,0.577218,0.007649,-0.000462,0.002757,0.000360,-0.000070,-0.001707
13,1916733.518924308,0.022370,-0.877585,0.577232,0.007657,-0.000373,0.002666,0.000390,-0.000076,-0.001849
14,1916733.523868156,0.022407,-0.877593,0.577245,0.007587,-0.000107,0.002636,0.000420,-0.000082,-0.001991
15,1916733.528812003,0.022444,-0.877599,0.577259,0.007303,0.000262,0.002620,0.000450,-0.000088,-0.002134
16,1916733.533755851,0.022480,-0.877604,0.577272,0.006978,0.000609,0.002571,0.000480,-0.000094,-0.002276
17,1916733.538699699,0.022514,-0.877607,0.577285,0.006555,0.000918,0.002457,0.000510,-0.000100,-0.002419
18,1916733.543643546,0.022547,-0.877607,0.577297,0.006137,0.001266,0.002257,0.000540,-0.000105,-0.002561
19,1916733.548587394,0.022578,-0.877606,0.577308,0.005751,0.001557,0.002089,0.000570,-0.000111,-0.002704
20,1916733.553531242,0.022607,-0.877603,0.577319,0.005549,0.001849,0.002103,0.000600,-0.000117,-0.002846
21,1916733.558475089,0.022636,-0.877599,0.577329,0.005310,0.001926,0.002217,0.000630,-0.000123,-0.002989
22,1916733.563388419,0.022663,-0.877593,0.577340,0.005112,0.001737,0.002407,0.000660,-0.000129,-0.003130
23,1916733.568332267,0.022689,-0.877589,0.577352,0.004888,0.001396,0.002556,0.000690,-0.000135,-0.003273
24,1916733.573276115,0.022714,-0.877586,0.577365,0.004754,0.000717,0.002610,0.000720,-0.000141,-0.003415
25,1916733.578219962,0.022738,-0.877586,0.577378,0.004538,-0.000148,0.002875,0.000750,-0.000146,-0.003558
26,1916733.583163810,0.022760,-0.877591,0.577392,0.004166,-0.000976,0.003155,0.000781,-0.000152,-0.003700
27,1916733.588077140,0.022779,-0.877598,0.577408,0.003737,-0.001812,0.003458,0.000810,-0.000158,-0.003842
28,1916733.593020988,0.022796,-0.877610,0.577425,0.003457,-0.002638,0.003574,0.000840,-0.000164,-0.003984
29,1916733.597964836,0.022811,-0.877626,0.577443,0.003140,-0.003481,0.003724,0.000871,-0.000170,-0.004127
30,1916733.602908683,0.022823,-0.877645,0.577462,0.002915,-0.004233,0.003846,0.000901,-0.000176,-0.004269
31,1916733.607822013,0.022833,-0.877667,0.577481,0.002715,-0.004571,0.003975,0.000930,-0.000182,-0.004411
