,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1916733.454776359,-0.056727,-0.233007,0.589384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1916733.459689689,-0.056727,-0.233007,0.589384,0.000590,-0.000062,0.000183,0.000109,0.000023,-0.000171
2,1916733.464633537,-0.056724,-0.233007,0.589385,0.001057,-0.000098,0.000497,0.000218,0.000046,-0.000343
3,1916733.469607902,-0.056718,-0.233007,0.589387,0.001538,-0.000213,0.000878,0.000328,0.000069,-0.000515
4,1916733.474551750,-0.056711,-0.233007,0.589392,0.002121,-0.000431,0.001239,0.000437,0.000092,-0.000687
5,1916733.479465080,-0.056700,-0.233008,0.589398,0.002805,-0.000700,0.001513,0.000545,0.000115,-0.000858
6,1916733.484378410,-0.056686,-0.233010,0.589405,0.003574,-0.001000,0.001790,0.000654,0.000138,-0.001029
7,1916733.489322257,-0.056668,-0.233013,0.589414,0.004311,-0.001342,0.002104,0.000763,0.000161,-0.001200
8,1916733.494266105,-0.056646,-0.233017,0.589425,0.005121,-0.001670,0.002323,0.000872,0.000184,-0.001372
9,1916733.499209953,-0.056620,-0.233022,0.589437,0.005886,-0.002155,0.002441,0.000982,0.000207,-0.001544
10,1916733.504153800,-0.056590,-0.233030,0.589449,0.006474,-0.002582,0.002575,0.001091,0.000231,-0.001716
11,1916733.509067130,-0.056557,-0.233039,0.589462,0.006785,-0.002918,0.002684,0.001199,0.000253,-0.001886
12,1916733.514010978,-0.056523,-0.233049,0.589476,0.007052,-0.003053,0.002757,0.001308,0.000277,-0.002058
13,1916733.518924308,-0.056487,-0.233060,0.589490,0.007095,-0.002971,0.002667,0.001417,0.000299,-0.002229
14,1916733.523868156,-0.056450,-0.233071,0.589503,0.007126,-0.002694,0.002637,0.001526,0.000323,-0.002401
15,1916733.528812003,-0.056414,-0.233080,0.589516,0.006992,-0.002248,0.002621,0.001635,0.000346,-0.002573
16,1916733.533755851,-0.056378,-0.233088,0.589530,0.006812,-0.001809,0.002572,0.001745,0.000369,-0.002744
17,1916733.538699699,-0.056344,-0.233093,0.589543,0.006527,-0.001371,0.002458,0.001854,0.000392,-0.002916
18,1916733.543643546,-0.056311,-0.233096,0.589555,0.006262,-0.000898,0.002258,0.001963,0.000415,-0.003088
19,1916733.548587394,-0.056280,-0.233097,0.589566,0.006007,-0.000489,0.002090,0.002072,0.000438,-0.003260
20,1916733.553531242,-0.056250,-0.233096,0.589577,0.005925,-0.000143,0.002105,0.002181,0.000461,-0.003432
21,1916733.558475089,-0.056221,-0.233093,0.589587,0.005735,0.000015,0.002218,0.002291,0.000484,-0.003603
22,1916733.563388419,-0.056193,-0.233090,0.589598,0.005493,-0.000092,0.002409,0.002399,0.000507,-0.003774
23,1916733.568332267,-0.056166,-0.233087,0.589611,0.005175,-0.000331,0.002558,0.002508,0.000530,-0.003946
24,1916733.573276115,-0.056141,-0.233086,0.589623,0.004825,-0.000920,0.002612,0.002618,0.000553,-0.004118
25,1916733.578219962,-0.056117,-0.233088,0.589636,0.004335,-0.001655,0.002877,0.002727,0.000576,-0.004289
26,1916733.583163810,-0.056095,-0.233094,0.589651,0.003711,-0.002301,0.003158,0.002836,0.000599,-0.004461
27,1916733.588077140,-0.056075,-0.233103,0.589667,0.003033,-0.002934,0.003461,0.002945,0.000622,-0.004632
28,1916733.593020988,-0.056059,-0.233115,0.589684,0.002496,-0.003609,0.003577,0.003054,0.000645,-0.004804
29,1916733.597964836,-0.056045,-0.233131,0.589702,0.001921,-0.004288,0.003727,0.003163,0.000669,-0.004976
30,1916733.602908683,-0.056033,-0.233151,0.589721,0.001463,-0.004913,0.003850,0.003272,0.000692,-0.005147
31,1916733.607822013,-0.056024,-0.233174,0.589740,0.001171,-0.005157,0.003978,0.003381,0.000715,-0.005318
32,1916733.612765861,-0.056015,-0.233198,0.589760,0.001028,-0.005109,0.003876,0.003490,0.000738,-0.005490
