,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1916733.454776359,-0.069341,-0.727605,0.682889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1916733.459689689,-0.069341,-0.727605,0.682889,0.000590,-0.000062,0.000183,0.000202,0.000609,-0.000811
2,1916733.464633537,-0.069338,-0.727605,0.682890,0.001058,-0.000094,0.000497,0.000406,0.001221,-0.001628
3,1916733.469607902,-0.069333,-0.727604,0.682892,0.001541,-0.000200,0.000878,0.000611,0.001837,-0.002449
4,1916733.474551750,-0.069325,-0.727604,0.682897,0.002127,-0.000406,0.001239,0.000815,0.002449,-0.003266
5,1916733.479465080,-0.069315,-0.727605,0.682903,0.002815,-0.000658,0.001514,0.001017,0.003058,-0.004077
6,1916733.484378410,-0.069301,-0.727606,0.682910,0.003589,-0.000937,0.001790,0.001220,0.003667,-0.004889
7,1916733.489322257,-0.069283,-0.727608,0.682919,0.004333,-0.001254,0.002105,0.001423,0.004279,-0.005705
8,1916733.494266105,-0.069261,-0.727611,0.682930,0.005150,-0.001552,0.002324,0.001627,0.004891,-0.006521
9,1916733.499209953,-0.069234,-0.727616,0.682942,0.005924,-0.002004,0.002443,0.001831,0.005504,-0.007338
10,1916733.504153800,-0.069204,-0.727621,0.682954,0.006521,-0.002393,0.002577,0.002035,0.006116,-0.008154
11,1916733.509067130,-0.069171,-0.727629,0.682967,0.006843,-0.002687,0.002686,0.002237,0.006725,-0.008966
12,1916733.514010978,-0.069136,-0.727637,0.682981,0.007121,-0.002776,0.002760,0.002441,0.007337,-0.009782
13,1916733.518924308,-0.069099,-0.727646,0.682995,0.007176,-0.002643,0.002670,0.002643,0.007946,-0.010594
14,1916733.523868156,-0.069063,-0.727654,0.683008,0.007222,-0.002312,0.002641,0.002847,0.008558,-0.011410
15,1916733.528812003,-0.069026,-0.727660,0.683022,0.007102,-0.001807,0.002625,0.003051,0.009170,-0.012227
16,1916733.533755851,-0.068990,-0.727665,0.683035,0.006938,-0.001305,0.002577,0.003254,0.009783,-0.013043
17,1916733.538699699,-0.068955,-0.727666,0.683048,0.006670,-0.000799,0.002463,0.003458,0.010395,-0.013859
18,1916733.543643546,-0.068922,-0.727666,0.683060,0.006423,-0.000255,0.002265,0.003662,0.011007,-0.014676
19,1916733.548587394,-0.068890,-0.727663,0.683071,0.006187,0.000229,0.002097,0.003866,0.011620,-0.015492
20,1916733.553531242,-0.068860,-0.727657,0.683082,0.006125,0.000656,0.002113,0.004069,0.012232,-0.016309
21,1916733.558475089,-0.068831,-0.727650,0.683092,0.005956,0.000898,0.002227,0.004273,0.012844,-0.017125
22,1916733.563388419,-0.068802,-0.727642,0.683103,0.005736,0.000879,0.002419,0.004475,0.013453,-0.017937
23,1916733.568332267,-0.068775,-0.727634,0.683115,0.005441,0.000732,0.002569,0.004679,0.014065,-0.018753
24,1916733.573276115,-0.068749,-0.727626,0.683128,0.005116,0.000239,0.002624,0.004883,0.014678,-0.019569
25,1916733.578219962,-0.068724,-0.727622,0.683141,0.004651,-0.000394,0.002890,0.005087,0.015290,-0.020386
26,1916733.583163810,-0.068701,-0.727620,0.683155,0.004053,-0.000935,0.003172,0.005290,0.015902,-0.021202
27,1916733.588077140,-0.068681,-0.727622,0.683171,0.003402,-0.001459,0.003475,0.005493,0.016511,-0.022014
28,1916733.593020988,-0.068663,-0.727627,0.683189,0.002894,-0.002021,0.003593,0.005696,0.017123,-0.022830
29,1916733.597964836,-0.068648,-0.727634,0.683206,0.002348,-0.002582,0.003744,0.005900,0.017736,-0.023647
30,1916733.602908683,-0.068635,-0.727645,0.683225,0.001921,-0.003085,0.003868,0.006104,0.018348,-0.024463
31,1916733.607822013,-0.068623,-0.727659,0.683245,0.001660,-0.003204,0.003998,0.006306,0.018957,-0.025275
32,1916733.612765861,-0.068613,-0.727673,0.683265,0.001550,-0.003025,0.003896,0.006510,0.019569,-0.026091
33,1916733.617709709,-0.068604,-0.727686,0.683284,0.001513,-0.002636,0.003699,0.006714,0.020181,-0.026907
34,1916733.622623039,-0.068595,-0.727698,0.683303,0.001509,-0.002039,0.003358,0.006916,0.020790,-0.027719
35,1916733.627566886,-0.068586,-0.727707,0.683320,0.001589,-0.001208,0.002862,0.007120,0.021402,-0.028535
36,1916733.632510734,-0.068578,-0.727711,0.683334,0.001784,-0.000396,0.002326,0.007324,0.022015,-0.029352
37,1916733.637424064,-0.068569,-0.727712,0.683345,0.002010,0.000460,0.001819,0.007526,0.022623,-0.030163
38,1916733.642337394,-0.068560,-0.727708,0.683354,0.002344,0.001346,0.001165,0.007729,0.023232,-0.030975
39,1916733.647311759,-0.068549,-0.727700,0.683360,0.002753,0.002262,0.000395,0.007934,0.023848,-0.031796
40,1916733.652255607,-0.068537,-0.727687,0.683362,0.003141,0.003108,-0.000211,0.008137,0.024460,-0.032612
41,1916733.657199455,-0.068523,-0.727670,0.683360,0.003306,0.003765,-0.000684,0.008341,0.025073,-0.033429
42,1916733.662143302,-0.068510,-0.727649,0.683357,0.003443,0.004416,-0.001072,0.008545,0.025685,-0.034245
43,1916733.667087150,-0.068496,-0.727625,0.683351,0.003446,0.004831,-0.001338,0.008748,0.026297,-0.035062
44,1916733.672030998,-0.068482,-0.727600,0.683344,0.003273,0.005128,-0.001438,0.008952,0.026910,-0.035878
45,1916733.676944328,-0.068469,-0.727573,0.683337,0.003174,0.005370,-0.001444,0.009155,0.027518,-0.036690
46,1916733.681888175,-0.068457,-0.727545,0.683329,0.003031,0.005581,-0.001484,0.009358,0.028131,-0.037506
47,1916733.686832023,-0.068445,-0.727515,0.683321,0.002712,0.005701,-0.001297,0.009562,0.028743,-0.038323
48,1916733.691775871,-0.068436,-0.727486,0.683314,0.002387,0.005877,-0.001032,0.009766,0.029356,-0.039139
49,1916733.696719718,-0.068428,-0.727456,0.683309,0.001886,0.006161,-0.000823,0.009969,0.029968,-0.039955
50,1916733.701633048,-0.068423,-0.727425,0.683304,0.001496,0.006466,-0.000857,0.010172,0.030576,-0.040767
51,1916733.706576896,-0.068419,-0.727392,0.683299,0.001192,0.006815,-0.000889,0.010376,0.031189,-0.041583
52,1916733.711520744,-0.068418,-0.727358,0.683294,0.001033,0.007357,-0.000954,0.010579,0.031801,-0.042400
53,1916733.716464591,-0.068417,-0.727321,0.683289,0.000976,0.007995,-0.000980,0.010783,0.032414,-0.043216
54,1916733.721377921,-0.068418,-0.727282,0.683283,0.000986,0.008679,-0.000943,0.010986,0.033022,-0.044028
55,1916733.726321769,-0.068418,-0.727239,0.683278,0.001089,0.009409,-0.001126,0.011189,0.033634,-0.044844
56,1916733.731265617,-0.068419,-0.727192,0.683271,0.000992,0.009941,-0.001294,0.011393,0.034247,-0.045660
57,1916733.736209464,-0.068420,-0.727143,0.683264,0.000850,0.010203,-0.001496,0.011597,0.034859,-0.046477
58,1916733.741153312,-0.068423,-0.727092,0.683256,0.000443,0.010279,-0.001403,0.011800,0.035472,-0.047293
59,1916733.746097160,-0.068427,-0.727042,0.683248,-0.000110,0.010498,-0.001108,0.012004,0.036084,-0.048110
60,1916733.751010490,-0.068434,-0.726991,0.683241,-0.000665,0.010425,-0.000497,0.012207,0.036693,-0.048921
61,1916733.755954337,-0.068444,-0.726940,0.683238,-0.001533,0.010157,-0.000023,0.012410,0.037305,-0.049738
62,1916733.760898185,-0.068458,-0.726891,0.683237,-0.002498,0.009937,0.000601,0.012614,0.037917,-0.050554
63,1916733.765842033,-0.068477,-0.726844,0.683239,-0.003472,0.009605,0.001458,0.012818,0.038530,-0.051371
64,1916733.770785880,-0.068500,-0.726799,0.683245,-0.004357,0.009371,0.002271,0.013021,0.039142,-0.052187
65,1916733.775699211,-0.068527,-0.726756,0.683255,-0.005081,0.009534,0.002985,0.013224,0.039751,-0.052998
66,1916733.780643058,-0.068558,-0.726712,0.683269,-0.005820,0.009930,0.003352,0.013428,0.040363,-0.053815
67,1916733.785586906,-0.068593,-0.726667,0.683284,-0.006441,0.010448,0.003502,0.013631,0.040975,-0.054631
68,1916733.790530753,-0.068632,-0.726620,0.683301,-0.006886,0.011058,0.003454,0.013835,0.041588,-0.055448
69,1916733.795474601,-0.068672,-0.726570,0.683317,-0.007092,0.011900,0.003347,0.014039,0.042200,-0.056264
70,1916733.800387931,-0.068715,-0.726516,0.683332,-0.007085,0.012693,0.002930,0.014241,0.042809,-0.057076
71,1916733.805331779,-0.068758,-0.726458,0.683345,-0.007088,0.013554,0.002435,0.014445,0.043421,-0.057892
72,1916733.810275627,-0.068801,-0.726396,0.683356,-0.006756,0.014458,0.002027,0.014649,0.044033,-0.058708
73,1916733.815219474,-0.068843,-0.726329,0.683364,-0.006445,0.015338,0.001536,0.014852,0.044646,-0.059525
74,1916733.820163322,-0.068885,-0.726258,0.683370,-0.006013,0.016293,0.001101,0.015056,0.045258,-0.060341
75,1916733.825076652,-0.068925,-0.726182,0.683374,-0.005609,0.017128,0.000778,0.015259,0.045867,-0.061153
76,1916733.829989982,-0.068963,-0.726102,0.683376,-0.005259,0.017749,0.000553,0.015461,0.046475,-0.061964
77,1916733.834933830,-0.069000,-0.726018,0.683377,-0.005027,0.018139,0.000340,0.015665,0.047088,-0.062781
78,1916733.839877677,-0.069036,-0.725933,0.683377,-0.004813,0.018329,0.000216,0.015868,0.047700,-0.063597
79,1916733.844821525,-0.069071,-0.725846,0.683376,-0.004347,0.018360,0.000223,0.016072,0.048312,-0.064413
80,1916733.849765373,-0.069105,-0.725759,0.683375,-0.003759,0.018426,0.000332,0.016276,0.048925,-0.065230
81,1916733.854678703,-0.069135,-0.725671,0.683375,-0.003024,0.018342,0.000439,0.016478,0.049533,-0.066041
82,1916733.859622550,-0.069161,-0.725583,0.683376,-0.002015,0.018286,0.000685,0.016682,0.050146,-0.066858
83,1916733.864566398,-0.069183,-0.725495,0.683377,-0.000959,0.018234,0.000607,0.016886,0.050758,-0.067674
84,1916733.869510246,-0.069199,-0.725406,0.683378,0.000071,0.018211,0.000513,0.017089,0.051370,-0.068491
85,1916733.874423576,-0.069210,-0.725317,0.683379,0.001219,0.018415,0.000318,0.017292,0.051979,-0.069302
86,1916733.879367423,-0.069216,-0.725226,0.683379,0.002480,0.018552,0.000111,0.017496,0.052591,-0.070119
87,1916733.884311271,-0.069216,-0.725134,0.683378,0.003670,0.018968,-0.000213,0.017699,0.053204,-0.070935
88,1916733.889255119,-0.069210,-0.725038,0.683375,0.004749,0.019368,-0.000720,0.017903,0.053816,-0.071751
89,1916733.894168449,-0.069199,-0.724941,0.683370,0.005745,0.019652,-0.001015,0.018105,0.054425,-0.072563
90,1916733.899112296,-0.069183,-0.724841,0.683363,0.006624,0.019966,-0.001363,0.018309,0.055037,-0.073379
91,1916733.904056144,-0.069164,-0.724739,0.683354,0.007431,0.020233,-0.001480,0.018513,0.055649,-0.074196
92,1916733.908999992,-0.069140,-0.724635,0.683345,0.008240,0.020390,-0.001499,0.018717,0.056262,-0.075012
93,1916733.913943839,-0.069113,-0.724530,0.683336,0.008840,0.020484,-0.001347,0.018920,0.056874,-0.075829
94,1916733.918887687,-0.069082,-0.724424,0.683328,0.009336,0.020378,-0.001060,0.019124,0.057486,-0.076645
95,1916733.923831535,-0.069049,-0.724319,0.683321,0.009669,0.020244,-0.000764,0.019328,0.058099,-0.077461
96,1916733.928744865,-0.069015,-0.724214,0.683315,0.010047,0.020026,-0.000286,0.019530,0.058707,-0.078273
97,1916733.933719230,-0.068979,-0.724109,0.683312,0.010406,0.019856,0.000228,0.019735,0.059323,-0.079094
98,1916733.938663078,-0.068940,-0.724005,0.683311,0.010887,0.019753,0.000598,0.019939,0.059936,-0.079911
99,1916733.943606925,-0.068899,-0.723901,0.683313,0.011357,0.019462,0.001066,0.020143,0.060548,-0.080727
100,1916733.948520255,-0.068856,-0.723799,0.683316,0.011884,0.019106,0.001727,0.020345,0.061157,-0.081539
101,1916733.953464103,-0.068810,-0.723697,0.683323,0.012369,0.018808,0.002387,0.020549,0.061769,-0.082355
102,1916733.958407951,-0.068762,-0.723597,0.683333,0.012818,0.018565,0.003096,0.020753,0.062381,-0.083172
103,1916733.963351798,-0.068711,-0.723498,0.683347,0.012845,0.018307,0.003581,0.020956,0.062994,-0.083988
104,1916733.968265128,-0.068660,-0.723400,0.683363,0.012675,0.018310,0.004096,0.021159,0.063602,-0.084799
105,1916733.973208976,-0.068610,-0.723302,0.683382,0.012323,0.018431,0.004541,0.021362,0.064215,-0.085616
106,1916733.978152824,-0.068561,-0.723203,0.683403,0.011734,0.018477,0.005120,0.021566,0.064827,-0.086432
107,1916733.983096671,-0.068516,-0.723105,0.683426,0.011145,0.018749,0.005468,0.021770,0.065439,-0.087249
108,1916733.988040519,-0.068473,-0.723005,0.683452,0.010474,0.019173,0.005623,0.021974,0.066052,-0.088065
109,1916733.992953849,-0.068434,-0.722905,0.683478,0.009846,0.019527,0.005775,0.022176,0.066660,-0.088877
110,1916733.997897697,-0.068399,-0.722802,0.683505,0.009149,0.020091,0.005827,0.022380,0.067273,-0.089693
111,1916734.002841544,-0.068367,-0.722697,0.683532,0.008596,0.021005,0.005816,0.022583,0.067885,-0.090509
112,1916734.007785392,-0.068338,-0.722588,0.683558,0.008153,0.022100,0.005654,0.022787,0.068497,-0.091326
113,1916734.012729240,-0.068313,-0.722474,0.683584,0.007957,0.023320,0.005447,0.022991,0.069110,-0.092142
114,1916734.017673087,-0.068289,-0.722354,0.683609,0.007780,0.024524,0.005177,0.023195,0.069722,-0.092959
115,1916734.022555900,-0.068267,-0.722230,0.683632,0.007893,0.025759,0.004675,0.023396,0.070327,-0.093765
116,1916734.027499748,-0.068245,-0.722098,0.683653,0.008222,0.027070,0.004203,0.023600,0.070939,-0.094582
117,1916734.032413078,-0.068222,-0.721961,0.683671,0.008546,0.028406,0.003690,0.023802,0.071548,-0.095393
118,1916734.037356925,-0.068198,-0.721816,0.683687,0.009102,0.029664,0.003185,0.024006,0.072160,-0.096209
119,1916734.042300773,-0.068173,-0.721664,0.683700,0.009691,0.030898,0.002618,0.024209,0.072773,-0.097026
120,1916734.047244621,-0.068145,-0.721506,0.683710,0.010295,0.031948,0.002090,0.024413,0.073385,-0.097842
121,1916734.052188468,-0.068115,-0.721343,0.683718,0.011036,0.032690,0.001652,0.024617,0.073997,-0.098659
122,1916734.057132316,-0.068082,-0.721176,0.683723,0.011743,0.033272,0.001246,0.024821,0.074610,-0.099475
123,1916734.062045646,-0.068046,-0.721006,0.683726,0.012515,0.033800,0.000838,0.025023,0.075218,-0.100287
124,1916734.066989494,-0.068006,-0.720832,0.683727,0.013259,0.034157,0.000630,0.025227,0.075831,-0.101103
125,1916734.071933341,-0.067963,-0.720656,0.683727,0.013807,0.034319,0.000579,0.025430,0.076443,-0.101920
126,1916734.076877189,-0.067917,-0.720479,0.683727,0.014195,0.034506,0.000619,0.025634,0.077055,-0.102736
127,1916734.081821037,-0.067869,-0.720301,0.683727,0.014613,0.034757,0.000803,0.025838,0.077668,-0.103552
128,1916734.086764884,-0.067820,-0.720121,0.683728,0.014949,0.034927,0.001169,0.026042,0.078280,-0.104369
129,1916734.091678214,-0.067769,-0.719941,0.683731,0.015151,0.035331,0.001408,0.026244,0.078889,-0.105180
130,1916734.096652580,-0.067717,-0.719757,0.683734,0.015530,0.035704,0.001556,0.026449,0.079505,-0.106002
131,1916734.101565910,-0.067664,-0.719573,0.683739,0.016095,0.036393,0.001651,0.026651,0.080113,-0.106813
132,1916734.106509757,-0.067609,-0.719385,0.683744,0.016677,0.037034,0.001799,0.026855,0.080726,-0.107630
133,1916734.111423087,-0.067551,-0.719193,0.683749,0.017592,0.037926,0.001806,0.027058,0.081334,-0.108441
134,1916734.116366935,-0.067489,-0.718996,0.683755,0.018829,0.039191,0.001629,0.027261,0.081947,-0.109257
