,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1916934.507203314,0.122942,-0.325485,2.156365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1916934.512147162,0.122942,-0.325485,2.156365,0.000123,-0.000272,0.000426,-0.000031,0.000139,0.000266
2,1916934.517091009,0.122941,-0.325486,2.156367,0.000243,-0.000131,0.000774,-0.000062,0.000278,0.000531
3,1916934.522004340,0.122941,-0.325487,2.156371,0.000035,0.000005,0.001019,-0.000093,0.000416,0.000795
4,1916934.526917670,0.122941,-0.325487,2.156376,-0.000204,0.000320,0.001398,-0.000123,0.000554,0.001060
5,1916934.531861517,0.122942,-0.325486,2.156383,-0.000377,0.000789,0.001689,-0.000154,0.000692,0.001325
6,1916934.536774847,0.122944,-0.325482,2.156391,-0.000596,0.001205,0.002023,-0.000185,0.000830,0.001589
7,1916934.541718695,0.122946,-0.325476,2.156401,-0.000724,0.001659,0.002309,-0.000216,0.000969,0.001855
8,1916934.546662543,0.122951,-0.325468,2.156413,-0.000851,0.002131,0.002403,-0.000247,0.001108,0.002121
9,1916934.551606390,0.122957,-0.325458,2.156424,-0.000866,0.002636,0.002507,-0.000278,0.001247,0.002386
10,1916934.556550238,0.122965,-0.325447,2.156437,-0.000866,0.003058,0.002649,-0.000309,0.001386,0.002652
11,1916934.561494086,0.122974,-0.325435,2.156450,-0.000794,0.003453,0.002767,-0.000340,0.001524,0.002918
12,1916934.566407416,0.122986,-0.325422,2.156464,-0.000747,0.004008,0.002780,-0.000371,0.001662,0.003182
13,1916934.571351263,0.122999,-0.325407,2.156478,-0.000641,0.004601,0.002785,-0.000402,0.001801,0.003447
14,1916934.576295111,0.123016,-0.325392,2.156492,-0.000492,0.004985,0.002649,-0.000433,0.001940,0.003713
15,1916934.581238959,0.123034,-0.325376,2.156505,-0.000333,0.005360,0.002479,-0.000464,0.002079,0.003979
16,1916934.586152289,0.123055,-0.325359,2.156518,-0.000036,0.005626,0.002541,-0.000494,0.002217,0.004243
17,1916934.591096136,0.123077,-0.325343,2.156531,0.000304,0.005701,0.002573,-0.000525,0.002356,0.004509
18,1916934.596070502,0.123101,-0.325328,2.156545,0.000640,0.005795,0.002696,-0.000556,0.002495,0.004776
