,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,2165570004315855,1.3181,9.957458,0.624664,9.017828,-0.188355,-4.46339,0.055405,-0.049377,0.022079,-0.007431,0.018045,0.07493,0.623667,0.621973,0.280852,0.381197,-0.000163,-0.010022
1,2165570009259703,1.151093,9.92514,0.664169,8.902816,-0.127555,-4.582393,0.049011,-0.050446,0.021011,-0.011954,0.017882,0.070183,0.623616,0.622105,0.280816,0.381093,-0.000204,-0.01013
2,2165570014203551,1.170258,9.879654,0.62886,8.870448,-0.163653,-4.545405,0.043686,-0.046188,0.023148,-0.011101,0.02041,0.063544,0.623556,0.622236,0.280776,0.381004,-0.000243,-0.010235
3,2165570019147398,1.192398,9.915558,0.603729,8.908142,-0.195654,-4.55097,0.037292,-0.044052,0.028473,-0.012193,0.026363,0.057431,0.623492,0.622369,0.280723,0.380932,-0.000281,-0.01034
4,2165570024091246,1.225311,9.868286,0.676147,8.895368,-0.126884,-4.494212,0.031967,-0.042984,0.028473,-0.014238,0.026972,0.05244,0.623448,0.622476,0.280647,0.380885,-0.000319,-0.010443
5,2165570029035094,1.248062,9.868286,0.76413,8.91802,-0.044284,-4.471175,0.033035,-0.038727,0.027405,-0.010259,0.02551,0.050854,0.62342,0.622558,0.280561,0.380859,-0.000356,-0.010545
6,2165570033948424,1.255249,9.905991,0.765335,8.952545,-0.048231,-4.487726,0.036224,-0.032333,0.028473,-0.003083,0.025755,0.049955,0.623382,0.622639,0.280488,0.380844,-0.000393,-0.010647
7,2165570038892271,1.229507,9.911377,0.726425,8.937365,-0.085703,-4.515621,0.039429,-0.024872,0.029526,0.004977,0.025913,0.048464,0.623327,0.622726,0.280439,0.380827,-0.00043,-0.010747
8,2165570043836119,1.222931,9.910782,0.701279,8.929704,-0.111641,-4.523152,0.040482,-0.018478,0.029526,0.010835,0.025368,0.045728,0.623261,0.622815,0.280407,0.380814,-0.000467,-0.010846
9,2165570048779967,1.242081,9.931122,0.70488,8.957163,-0.114008,-4.519209,0.044754,-0.015289,0.031662,0.016097,0.026744,0.04759,0.623184,0.622909,0.280375,0.380811,-0.000503,-0.010944
10,2165570053723814,1.213348,9.915558,0.622879,8.917885,-0.19284,-4.540117,0.047943,-0.013153,0.030594,0.019493,0.025157,0.048936,0.623085,0.623023,0.28037,0.380789,-0.000541,-0.011044
11,2165570058667662,1.231903,9.840744,0.592346,8.862452,-0.223115,-4.485079,0.047943,-0.007828,0.033798,0.024287,0.027985,0.046142,0.622971,0.623144,0.280363,0.380783,-0.000579,-0.011144
12,2165570063580992,1.307922,9.847336,0.591156,8.909512,-0.237332,-4.426549,0.045807,-0.00676,0.03273,0.02386,0.027131,0.043702,0.62285,0.623268,0.280337,0.380796,-0.000618,-0.011247
13,2165570068524840,1.35939,9.820389,0.617493,8.918774,-0.219169,-4.367682,0.044754,-0.008896,0.030594,0.021259,0.025296,0.043889,0.622733,0.623391,0.280291,0.38082,-0.000656,-0.011347
14,2165570073468687,1.332458,9.841339,0.610306,8.919951,-0.227344,-4.40259,0.046875,-0.009964,0.028473,0.021292,0.023012,0.046091,0.62262,0.623513,0.280259,0.38083,-0.000693,-0.011449
15,2165570078443053,1.278595,9.871872,0.557037,8.908165,-0.278311,-4.468368,0.047943,-0.016357,0.029526,0.016758,0.024366,0.050629,0.622503,0.623652,0.280239,0.380809,-0.00073,-0.011551
16,2165570083356383,1.23848,9.910782,0.618088,8.925137,-0.21771,-4.520378,0.046875,-0.024872,0.028473,0.009031,0.024048,0.054468,0.622417,0.623771,0.280213,0.380771,-0.000766,-0.011655
17,2165570088300230,1.292358,9.939499,0.683929,8.986049,-0.163588,-4.489539,0.045807,-0.037659,0.029526,-0.001942,0.026107,0.060852,0.622351,0.623891,0.280141,0.380738,-0.000802,-0.011757
18,2165570093244078,1.31929,9.94429,0.727615,9.009354,-0.126461,-4.469278,0.049011,-0.047241,0.029526,-0.00804,0.026378,0.068885,0.622293,0.624015,0.280045,0.380699,-0.000838,-0.011861
