,time,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,linacce_x,linacce_y,linacce_z,grav_x,grav_y,grav_z,magnet_x,magnet_y,magnet_z,pos_x,pos_y,pos_z,ori_w,ori_x,ori_y,ori_z,rv_w,rv_x,rv_y,rv_z
0,2165575765332701.0,-0.0010529999999999997,0.012405,0.000763,1.182751685238907,9.89987294458345,-0.5653921853511678,-0.017049,-0.021189,-0.075794,1.177949,9.723373,-0.488702,-17.785722955004445,-33.16493883068028,12.847431317710873,-0.017869,-0.064976,-0.046687,0.688043,0.723228,-0.046085,0.0376,0.590593,0.6612140000000001,0.296164,0.355363
1,2165575770246031.0,-0.003189,0.011337,0.003967,1.1974374279795983,9.90162000031323,-0.5796158568992924,0.0030589999999999992,-0.03168,-0.08369,1.178218,9.723317,-0.489184,-18.019458865139853,-33.333634813581185,12.922314134860148,-0.017877,-0.064862,-0.046676,0.68805,0.723221,-0.04607,0.037624,0.5905730000000001,0.6612329999999998,0.2961619999999999,0.35536199999999996
2,2165575775189879.0,-0.003189,0.010284,0.005035,1.2202470557393756,9.901128870424213,-0.6172198893327627,0.027095,-0.024267,-0.141965,1.178721,9.723207,-0.490145,-18.017418823797186,-33.49718306736253,12.924354176202817,-0.017886,-0.064745,-0.046664,0.688059,0.723212,-0.046061,0.03765,0.590532,0.6612709999999999,0.29615999999999987,0.3553609999999999
3,2165575780133726.0,-0.006378,0.008148,0.005035,1.228297796625179,9.900064130194968,-0.6476152029967756,0.022458,-0.031178,-0.150053,1.179188,9.723106,-0.491034,-18.01537878286716,-33.66073128806271,12.926394217132842,-0.017894,-0.064624,-0.046653,0.688071,0.7232,-0.046056,0.037674,0.590495,0.6613070000000001,0.296158,0.35535900000000004
4,2165575785077574.0,-0.009583,0.004959,0.005035,1.2323593519280933,9.897003,-0.6335737960631072,0.032106,-0.030911,-0.118429,1.179727,9.723016,-0.491528,-18.013338741524493,-33.82427954184406,12.928434258475509,-0.017901,-0.064499,-0.046642,0.688088,0.723183,-0.046056,0.037693,0.590469,0.6613300000000001,0.296147,0.35536699999999993
5,2165575789990904.0,-0.012772,0.004959,0.005035,1.2387431427528783,9.89461385726442,-0.6131308575084515,0.035139,-0.034801,-0.105621,1.180293,9.722935,-0.491769,-18.011167454649367,-33.95988539716713,12.872449523730664,-0.017907,-0.064371,-0.046632,0.688111,0.72316,-0.046058,0.037709,0.590447,0.661344,0.29613799999999996,0.355386
6,2165575794934752.0,-0.014908,0.00708,0.006104,1.2344376480719068,9.916526092901925,-0.5761283144022632,0.024439,0.006433000000000001,-0.050898,1.180793,9.722892,-0.491425,-18.007334961186228,-33.78780872625383,12.151567524710655,-0.017919,-0.064244,-0.046625,0.688139,0.723132,-0.04606,0.037728,0.5904440000000001,0.661336,0.2961250000000001,0.35541500000000004
7,2165575799878599.0,-0.018097,0.010284,0.006104,1.2325118144847524,9.966076865990594,-0.529994206811214,0.028074,0.061586,-0.012239999999999994,1.181278,9.722876,-0.490569,-18.003502468498294,-33.61573209014675,11.430685671504595,-0.017931,-0.064115,-0.046618,0.688173,0.723099,-0.046058,0.037752,0.590455,0.6613099999999998,0.29610999999999993,0.355458
8,2165575804822447.0,-0.022369,0.011337,0.006104,1.2384248704242122,9.98634927773285,-0.5018329072594869,0.034642,0.055107,0.006286999999999999,1.181826,9.722871,-0.489352,-17.999669975035154,-33.44365541923345,10.709803672484586,-0.017942,-0.063984,-0.04661,0.688214,0.723058,-0.046052,0.037781,0.590476,0.661273,0.29608799999999996,0.35551099999999997
9,2165575809735777.0,-0.023422,0.012405,0.003967,1.2209602867586749,9.9708035720896,-0.4410898598056715,-0.0014880000000000032,0.032067,0.09584899999999999,1.182006,9.722948,-0.487361,-17.978343418083416,-33.32195263440394,10.093639907650674,-0.017952,-0.063854,-0.0466,0.68826,0.723013,-0.046044,0.037809,0.590528,0.661205,0.2960690000000001,0.3555670000000001
10,2165575814679625.0,-0.020233,0.012405,0.0018310000000000002,1.1935391479912003,9.968269222316302,-0.41215037050491843,-0.022371,0.044214,0.076182,1.181903,9.723045,-0.485674,-17.78531965832261,-33.68244165263311,10.455654675957001,-0.017962,-0.063724,-0.046589,0.688305,0.722971,-0.04603,0.037834,0.590576,0.661142,0.296064,0.355609
11,2165575819623472.0,-0.018097,0.011337,-0.0002900000000000001,1.2004185348717304,9.972592703844192,-0.4029635578625309,0.005098999999999999,0.04203,0.103682,1.181922,9.723134,-0.483869,-17.592295937605027,-34.0429305979456,10.817669371038024,-0.017972,-0.063595,-0.046577,0.688344,0.722933,-0.046014,0.037855,0.5906249999999998,0.6610779999999999,0.2960519999999999,0.355657
12,2165575824567320.0,-0.014908,0.013474,0.0028989999999999997,1.215585722267149,9.971140240731714,-0.3626339996367202,0.01083,0.040465,0.1501,1.182148,9.723207,-0.481825,-17.39927217784422,-34.40341961617477,11.17968413934435,-0.017983,-0.063469,-0.046564,0.688379,0.7229,-0.045997,0.037878,0.590676,0.661007,0.29603300000000005,0.355718
13,2165575829511168.0,-0.011719,0.013474,-0.0013580000000000003,1.2226074445027435,9.961350536915981,-0.3474807778495617,0.01849,0.024068,0.138697,1.182248,9.723284,-0.480034,-17.24187174753951,-34.73056543346098,11.508143566539024,-0.017994,-0.063345,-0.04655,0.688407,0.722873,-0.045978,0.037901,0.5907210000000002,0.6609430000000001,0.2960230000000001,0.35577200000000014
14,2165575834455015.0,-0.010651,0.012405,-0.002426,1.2283222033748211,9.961685832344326,-0.357746499152583,0.022571,0.036296,0.126266,1.182314,9.723356,-0.478397,-17.433579658102502,-34.73094811451442,11.507760885485583,-0.018004,-0.063225,-0.046535,0.688432,0.72285,-0.045954,0.03792,0.5907619999999999,0.6608829999999999,0.29601500000000003,0.35582100000000005
15,2165575839368346.0,-0.010651,0.012405,-0.001358,1.2260047130345406,9.946175850772898,-0.3920938662279961,0.015307,-0.0002500000000000002,0.072981,1.182407,9.723402,-0.477217,-17.62410424753951,-34.73132843346098,11.507380566539023,-0.018014,-0.063108,-0.046519,0.688455,0.722828,-0.045932,0.037937,0.5907889999999999,0.6608389999999998,0.296013,0.355862
16,2165575844312193.0,-0.011719,0.011337,-0.0002900000000000001,1.2212053333108137,9.924000925840762,-0.42472337050491843,0.012185,-0.01155,0.053925,1.182532,9.72344,-0.476149,-17.815812158102503,-34.73171111451442,11.506997885485582,-0.018024,-0.062993,-0.046503,0.68848,0.722805,-0.045912,0.037956,0.590812,0.660799,0.29600999999999994,0.3558999999999999
17,2165575849256041.0,-0.011719,0.012405,-0.0013579999999999998,1.2223338148462493,9.90679057391267,-0.44164946308401876,0.016281,-0.03285500000000001,0.036808,1.182662,9.72347,-0.475223,-17.970424350535385,-34.696179237433086,11.5063180489478,-0.018033,-0.06288,-0.046487,0.688506,0.722781,-0.045892,0.037974,0.590829,0.6607630000000002,0.29601000000000005,0.35593700000000006
18,2165575854199888.0,-0.011719,0.008148,-0.0002900000000000001,1.2217121855152475,9.882144428045608,-0.44612318551524754,0.011979,-0.059333,0.040043,1.182825,9.723495,-0.474306,-17.786537579965387,-34.332926878676226,11.502926668258063,-0.018042,-0.062767,-0.046471,0.688531,0.722757,-0.045876,0.03799,0.5908489999999998,0.6607309999999997,0.29600199999999993,0.3559689999999999
19,2165575859113219.0,-0.011719,0.006012,-0.00029,1.2192449997924013,9.873064715017717,-0.4597257189840699,0.010699,-0.054707,0.012400000000000001,1.182966,9.72351,-0.47363,-17.603785854369615,-33.97191670277411,11.499556220937244,-0.01805,-0.062655,-0.046457,0.688555,0.722734,-0.045865,0.038,0.5908640000000001,0.660708,0.29599499999999995,0.35599299999999995
20,2165575864057066.0,-0.01384,0.006012,-0.0013579999999999998,1.2156424629226061,9.86421105541655,-0.4808946482737738,0.00532,-0.072691,-0.005042,1.18303,9.723533,-0.473,-17.419899083799613,-33.60866434401725,11.496164840247506,-0.018058,-0.062543,-0.046443,0.688581,0.722709,-0.045855,0.038008,0.5908790000000002,0.6606860000000001,0.29599100000000006,0.35601300000000013
21,2165575869000914.0,-0.014908,0.0017549999999999996,-0.001358,1.209222129575788,9.87520250024657,-0.48941248149943123,-0.0017889999999999998,-0.03949,-0.008112,1.182992,9.723569,-0.472355,-17.2522729609797,-33.26902305465938,11.500801725492538,-0.018065,-0.062431,-0.046432,0.688611,0.722681,-0.045848,0.038011,0.5908999999999999,0.6606640000000001,0.29598300000000005,0.35602400000000006
22,2165575873914244.0,-0.018097,0.004959,-0.002426,1.204452428658364,9.875200429284822,-0.48119928618411545,-0.004634,-0.063549,0.007075,1.182913,9.723623,-0.471429,-17.44351710243635,-33.45106934887656,11.682081448716417,-0.018072,-0.062319,-0.046421,0.688644,0.72265,-0.045841,0.038012,0.590929,0.660631,0.295977,0.356043
23,2165575878858092.0,-0.019165,0.004959,-0.002426,1.1997368881494512,9.861934610518894,-0.49969457954766805,-0.010421,-0.06783,-0.037858,1.182789,9.723669,-0.470816,-17.635949112143038,-33.63424638106716,11.864487148537297,-0.018079,-0.062205,-0.046413,0.688682,0.722614,-0.045831,0.038016,0.590948,0.6606079999999999,0.295977,0.3560549999999999
24,2165575883801939.0,-0.019165,0.003891,-0.002426,1.1937554629181562,9.884289852170212,-0.4945007219083192,-0.016157,-0.025182999999999997,0.003053,1.182575,9.723742,-0.469858,-17.8283810829262,-33.81742337620625,12.046892811462685,-0.018086,-0.062091,-0.046405,0.688721,0.722578,-0.045821,0.038018,0.590981,0.6605720000000002,0.29597300000000004,0.3560690000000001
25,2165575888745787.0,-0.020233,0.003891,-0.0002899999999999999,1.1925742963141261,9.89448844434133,-0.502424759595562,-0.013656,-0.038671,-0.04249699999999999,1.182495,9.723781,-0.469227,-18.02048305179035,-33.971879202957986,12.186072278541802,-0.018097,-0.061996,-0.046398,0.68876,0.722541,-0.045814,0.038021,0.5910009999999999,0.6605499999999999,0.29596999999999996,0.3560809999999999
26,2165575893659117.0,-0.021301,0.003891,-0.0013579999999999998,1.2007725710630062,9.8876060000519,-0.52634099975597,-0.0010170000000000005,-0.040176,-0.051519,1.182468,9.723813,-0.468626,-18.207639769406335,-33.798224854371306,11.832012396853791,-0.018108,-0.061899,-0.046392,0.688801,0.722501,-0.045808,0.038025,0.59102,0.660529,0.29596400000000006,0.35609300000000005
27,2165575898602965.0,-0.023422,0.001755,-0.001358,1.2037613703390557,9.90848588917135,-0.5295872407361634,-0.005093,-0.0025150000000000033,-0.051635,1.182366,9.72386,-0.467915,-18.39595896719528,-33.62349189241851,11.475753355030118,-0.018119,-0.061797,-0.046386,0.688846,0.722459,-0.045803,0.038026,0.591045,0.6605049999999999,0.29595600000000005,0.35610199999999986
28,2165575903546812.0,-0.025558,0.001755,-0.001358,1.1947625935816784,9.93794733149691,-0.5262350374607062,-0.017457,0.02059,-0.047117,1.18214,9.723928,-0.467056,-18.584278126892603,-33.44875896580922,11.119494385267528,-0.018131,-0.061691,-0.046381,0.688895,0.722413,-0.0458,0.038026,0.5910780000000001,0.6604750000000001,0.29595000000000005,0.35611
29,2165575908490660.0,-0.026627,0.002823,-0.002426,1.195933074159238,9.969536463245431,-0.5363186112726362,-0.005927,0.05773199999999999,-0.069418,1.181922,9.723991,-0.466307,-18.76085745402585,-33.29592813928677,10.785275681656344,-0.018143,-0.061581,-0.046375,0.688947,0.722364,-0.045796,0.038025,0.591106,0.660448,0.295946,0.356117
30,2165575913434508.0,-0.025558,0.004959,-0.003494,1.209026740848424,9.980786981418724,-0.5499602593174385,0.008535,0.048862,-0.077815,1.181783,9.724038,-0.465669,-18.568805088772937,-33.830823905956734,11.143123135698305,-0.018156,-0.06147,-0.046367,0.688998,0.722315,-0.045786,0.038026,0.591126,0.660423,0.29594500000000007,0.356128
31,2165575918378355.0,-0.026627,0.00708,-0.003494,1.2185825365665646,9.98787036891089,-0.5697628681101984,0.014549,0.066773,-0.106997,1.181679,9.724073,-0.4652,-18.37675276236676,-34.36571956443248,11.50097051735789,-0.018168,-0.061357,-0.046359,0.689051,0.722266,-0.045772,0.038029,0.59114,0.6604030000000001,0.2959490000000001,0.35614
32,2165575923291685.0,-0.027695,0.008148,-0.002426,1.218052285870886,9.98995757172447,-0.5881564282582281,0.009185,0.056046,-0.118176,1.181595,9.724105,-0.464778,-18.185885921847373,-34.8973134599674,11.856609006115633,-0.018181,-0.061241,-0.046348,0.689105,0.722214,-0.045757,0.038036,0.5911499999999997,0.6603849999999998,0.2959539999999999,0.3561529999999999
33,2165575928235533.0,-0.023422,0.008148,-0.001358,1.2208945926598067,9.990405018581274,-0.6075508150076621,0.018053,0.063824,-0.143907,1.181625,9.724101,-0.46476,-17.993833556594463,-35.43220922663736,12.214456460157594,-0.018193,-0.061122,-0.046336,0.689156,0.722166,-0.045742,0.038046,0.591145,0.6603799999999999,0.29596199999999995,0.3561619999999999
34,2165575933179381.0,-0.027695,0.010284,-0.0034939999999999997,1.2285002963456806,9.984696536915981,-0.6219485370818439,0.024585,0.047182,-0.150049,1.181627,9.72411,-0.464581,-17.807882405801198,-35.28197624226884,12.22848354464737,-0.018206,-0.060998,-0.046322,0.689208,0.722117,-0.045724,0.038057,0.5911440000000001,0.6603690000000001,0.29597200000000007,0.3561770000000001
35,2165575938123228.0,-0.03302,0.012405,-0.005615,1.2227146863626646,9.952042670197924,-0.6289634438323031,0.009781,0.0021619999999999973,-0.158196,1.181455,9.724148,-0.464219,-17.622206831199154,-35.10080200545729,12.226983262601857,-0.018218,-0.06087,-0.046306,0.68927,0.722059,-0.045699,0.038068,0.5911509999999999,0.6603480000000002,0.2959870000000001,0.35619200000000006
36,2165575943067076.0,-0.037277,0.013474,-0.005615,1.2029366664917691,9.901649888480796,-0.624718592493944,-0.013209999999999998,-0.051996,-0.145714,1.181153,9.724216,-0.463565,-17.43653121904021,-34.91962773199933,12.22548298025288,-0.018229,-0.060738,-0.046289,0.689342,0.721992,-0.04567,0.03808,0.5911689999999998,0.6603159999999998,0.29600399999999993,0.35620799999999986
37,2165575947980406.0,-0.042603,0.012405,-0.004562,1.1820501434139372,9.868534286218715,-0.5972248582564167,-0.03189800000000001,-0.068892,-0.108654,1.180767,9.724319,-0.462378,-17.252001768399953,-34.73957183363652,12.223991959033436,-0.018241,-0.060602,-0.046273,0.689422,0.721916,-0.045642,0.038094,0.591207,0.6602659999999999,0.296012,0.35622999999999994
38,2165575952954771.0,-0.047928,0.011337,-0.005615,1.1665923134106564,9.832448032758151,-0.5683857002899868,-0.043852,-0.117732,-0.088797,1.180278,9.724455,-0.460769,-17.55915285877668,-34.724610204422824,11.913088308750359,-0.018253,-0.06046,-0.046258,0.689513,0.72183,-0.045616,0.038105,0.591262,0.660203,0.29601500000000003,0.356254
39,2165575957868101.0,-0.050064,0.00708,-0.002426,1.146220286480045,9.797047286445446,-0.5609741427701782,-0.069502,-0.141816,-0.093487,1.179749,9.724595,-0.459161,-17.926912493732775,-34.73163964854479,11.565677473043978,-0.018266,-0.060317,-0.046246,0.68961,0.721739,-0.045596,0.038113,0.591322,0.660142,0.29601199999999994,0.35627
40,2165575962781431.0,-0.053253,0.006012,-0.005615,1.1298061431180075,9.760966572716061,-0.5393417154516387,-0.077562,-0.184701,-0.055553,1.179044,9.724777,-0.457112,-18.294672128688866,-34.73866909266677,11.218266637337596,-0.018279,-0.060171,-0.046237,0.689711,0.721642,-0.045581,0.038116,0.5913999999999999,0.6600659999999998,0.2960059999999998,0.3562859999999999
41,2165575967755797.0,-0.053253,0.004959,-0.005615,1.1169854410459545,9.722999845204393,-0.4821091135668344,-0.092087,-0.215972,0.011137000000000001,1.178248,9.724996,-0.454501,-18.667000269542015,-34.745785860284506,10.866540079347516,-0.018295,-0.06002,-0.046232,0.689817,0.721543,-0.045565,0.038115,0.5914990000000002,0.6599710000000001,0.29599300000000006,0.3563090000000001
42,2165575972699644.0,-0.053253,0.004959,-0.005615,1.0983701497961,9.701501019554408,-0.430034206811214,-0.111833,-0.227385,0.047599,1.177307,9.725245,-0.451611,-18.746360721259645,-34.88619445391288,10.930189900858824,-0.018312,-0.059869,-0.046233,0.689922,0.721443,-0.04555,0.038113,0.5916099999999997,0.6598649999999997,0.29597999999999997,0.3563309999999999
43,2165575977643492.0,-0.056458,0.008148,-0.0024260000000000006,1.081204444336881,9.715137259510406,-0.39087938859750543,-0.125041,-0.192388,0.082978,1.176386,9.725512,-0.448245,-18.74561159391391,-35.06334908026894,11.10771884543319,-0.018331,-0.059718,-0.046241,0.69003,0.721341,-0.045535,0.038117,0.591733,0.659742,0.295964,0.356368
44,2165575982587340.0,-0.053253,0.012405,-0.002426,1.0692460739978251,9.778548704344875,-0.3495669626400326,-0.134001,-0.106045,0.12237,1.175318,9.725805,-0.444652,-18.744862466568172,-35.240503706625006,11.285247790007556,-0.018353,-0.059568,-0.046254,0.690138,0.721238,-0.045517,0.038129,0.5918619999999999,0.6596059999999999,0.2959569999999999,0.3564099999999999
45,2165575987531187.0,-0.052185,0.019867,-0.002426,1.048416705963797,9.87719602851504,-0.3178138536870174,-0.161303,0.002143000000000006,0.141832,1.173939,9.726145,-0.440867,-18.744113339373964,-35.417658297147725,11.462776698672862,-0.018378,-0.059419,-0.046272,0.690243,0.721138,-0.045489,0.038152,0.591997,0.6594539999999999,0.29596999999999996,0.35645699999999997
46,2165575992475035.0,-0.053253,0.027328,-0.002426,1.0148751108331,9.964921907950043,-0.2958495739171188,-0.196701,0.073823,0.158675,1.172219,9.726535,-0.436825,-18.610085517256042,-35.468520783792144,11.514549108103925,-0.018413,-0.059268,-0.046296,0.69035,0.721036,-0.045447,0.038189,0.5921399999999999,0.6592839999999999,0.29600199999999993,0.35650899999999996
47,2165575997418883.0,-0.056458,0.032654,-0.002426,0.9970017592322822,10.035971389413469,-0.2456856661284894,-0.198586,0.142509,0.225655,1.170431,9.726965,-0.432023,-18.42158728658738,-35.46776823580107,11.514925382099465,-0.018454,-0.05912,-0.04632,0.690461,0.72093,-0.045395,0.038237,0.5923040000000002,0.6590840000000001,0.2960320000000001,0.35658000000000006
48,2165576002332213.0,-0.063904,0.039047,-0.004562,1.0170222846175607,10.076398856603364,-0.18498914438863256,-0.159389,0.159558,0.272692,1.168858,9.727399,-0.426453,-18.23425264124811,-35.46702033323185,11.515299333384073,-0.018499,-0.058977,-0.046342,0.690584,0.720814,-0.045331,0.038294,0.5924830000000001,0.658859,0.296054,0.35668
49,2165576007276060.0,-0.063904,0.047562,-0.004562,1.0764783459200902,10.093627461691877,-0.09438723154357326,-0.083159,0.17409,0.384544,1.16791,9.727798,-0.419886,-18.045754448707285,-35.46626778539299,11.515675607303503,-0.018551,-0.05884,-0.046362,0.690715,0.720689,-0.045252,0.038362,0.5926750000000001,0.658605,0.296053,0.35683000000000004
50,2165576012219908.0,-0.060715,0.056091,-0.002426,1.1233742409335805,10.091583722105737,-0.006799962478619893,-0.056938,0.157079,0.44217,1.167312,9.728168,-0.412955,-17.981387533430944,-35.25861188101512,11.41146021520742,-0.018606,-0.058712,-0.046378,0.690845,0.720566,-0.045161,0.038448,0.5928640000000001,0.6583380000000001,0.2960499999999999,0.357011
51,2165576017163756.0,-0.059647,0.064606,-0.005615,1.1542664076674687,10.095954518661982,0.05646737083664384,-0.021899000000000002,0.174603,0.496927,1.166846,9.728534,-0.405571,-17.984406184940326,-34.938637019120954,11.25046649382052,-0.018665,-0.058594,-0.04639,0.690973,0.720444,-0.045054,0.038548,0.593058,0.658052,0.29605,0.35721699999999995
52,2165576022107603.0,-0.053253,0.072067,-0.00882,1.1862300161647397,10.112353554426138,0.07850955616769693,0.008239999999999997,0.187227,0.482055,1.16647,9.728868,-0.398569,-17.98742483583912,-34.618662221948604,11.089472804998076,-0.018725,-0.058489,-0.046399,0.691096,0.720329,-0.044927,0.038657,0.5932300000000003,0.6577740000000003,0.29606600000000016,0.3574310000000002
53,2165576027051451.0,-0.043671,0.076324,-0.010956,1.2244041855170305,10.10885096283745,0.04118111066723734,0.05248,0.168901,0.41671,1.166371,9.729125,-0.392546,-17.990443487348507,-34.29868736005443,10.928479083611176,-0.018786,-0.058396,-0.046403,0.691205,0.720227,-0.044785,0.038773,0.5933610000000001,0.6575270000000002,0.2960960000000001,0.357643
54,2165576031964781.0,-0.038345,0.074188,-0.012009,1.246348714129114,10.07948071541704,-0.04767099676309142,0.057821,0.128763,0.300551,1.166296,9.729325,-0.387775,-17.992774857525394,-34.06083176739678,10.817099231355401,-0.01884,-0.058326,-0.046403,0.6913,0.720139,-0.044639,0.038888,0.5934530000000001,0.6573220000000002,0.29614,0.35783000000000004
55,2165576036908629.0,-0.036209,0.068863,-0.012009,1.2637763890861935,10.065555388924782,-0.12699668559773683,0.083908,0.132301,0.241271,1.166412,9.729477,-0.383608,-17.98857212151995,-34.60641250214448,11.181201894321326,-0.018885,-0.058272,-0.046401,0.691387,0.720058,-0.044498,0.038996,0.5935260000000001,0.6571419999999999,0.29618,0.35800599999999994
56,2165576041852476.0,-0.03302,0.063538,-0.012009,1.2780859625392937,10.05900326043666,-0.21126997314803633,0.089013,0.116221,0.132222,1.166569,9.729579,-0.380527,-17.9843693863646,-35.151993126536695,11.545304483639626,-0.018924,-0.05823,-0.046396,0.691468,0.719983,-0.044365,0.039094,0.5935679999999999,0.657002,0.29622599999999993,0.35815499999999995
57,2165576046796324.0,-0.030884,0.053955,-0.014145,1.2583935367501187,10.043009388763368,-0.30278450060539885,0.050878,0.098496,0.049164,1.166308,9.729697,-0.378293,-17.98016665035916,-35.6975738612844,11.909407146605552,-0.018959,-0.058195,-0.04639,0.691543,0.719914,-0.044244,0.039176,0.5935990000000001,0.656889,0.296284,0.35826299999999994
58,2165576051740172.0,-0.034088,0.050751,-0.015213,1.2448313889247808,10.007010277401125,-0.35781555582453184,0.05585,0.047664,0.011192,1.166078,9.729804,-0.376252,-17.957854122994963,-36.153897512660805,12.202251065445848,-0.018991,-0.058164,-0.046382,0.691618,0.719845,-0.04413,0.039245,0.5936269999999999,0.6567859999999999,0.2963379999999999,0.3583619999999999
59,2165576056684019.0,-0.034088,0.046494,-0.016281,1.2338112425303616,9.954323893173878,-0.4218991229441364,0.033529,-0.0069120000000000015,-0.07511699999999999,1.165658,9.729904,-0.374962,-17.770290056314785,-35.79575167600408,11.84486007447806,-0.019022,-0.058133,-0.046374,0.691695,0.719775,-0.044021,0.039304,0.5936380000000001,0.6567070000000002,0.296402,0.3584360000000001
60,2165576061627867.0,-0.034088,0.044373,-0.017334,1.2443909817460004,9.915319462756743,-0.5003646301811867,0.069026,-0.034318,-0.14942,1.165493,9.729949,-0.374302,-17.582725951695718,-35.43760576690461,11.487469011220213,-0.019052,-0.058103,-0.046365,0.691771,0.719705,-0.043916,0.039356,0.5936249999999998,0.6566529999999999,0.2964649999999999,0.35850399999999993
61,2165576066510679.0,-0.03302,0.044373,-0.017334,1.2478616263538305,9.883166071140769,-0.5644062149251292,0.049033,-0.069813,-0.207006,1.165208,9.729988,-0.374202,-17.397477485156447,-35.083881473054596,11.134490243999178,-0.019082,-0.05807,-0.046356,0.691845,0.719637,-0.043813,0.039405,0.5935979999999998,0.656615,0.29653899999999994,0.358556
62,2165576071485045.0,-0.031952,0.0401,-0.017334,1.2383950919725246,9.843169102460092,-0.5840133861157382,0.048203,-0.111534,-0.198185,1.164935,9.730024,-0.374084,-17.23717601965313,-34.74113481891739,10.801454475275802,-0.019114,-0.058031,-0.046347,0.691918,0.719571,-0.043711,0.03945,0.593574,0.65658,0.296606,0.358605
63,2165576076428892.0,-0.031952,0.037979,-0.01947,1.2595298859230475,9.815561964280853,-0.5633791319365264,0.086069,-0.127392,-0.169228,1.164885,9.730043,-0.373755,-17.62512527024224,-34.739592154568854,10.981931798440918,-0.019147,-0.057988,-0.046338,0.69199,0.719506,-0.043614,0.039488,0.5935539999999999,0.6565429999999999,0.29666,0.358661
64,2165576081372740.0,-0.029816,0.035843,-0.020538,1.2639123331809554,9.81770246308402,-0.5553468333915201,0.066115,-0.110481,-0.177181,1.1646,9.730083,-0.373603,-18.013074599302477,-34.73804948990827,11.162409158111474,-0.01918,-0.057938,-0.046331,0.692059,0.719444,-0.043517,0.039519,0.5935349999999998,0.6565099999999997,0.2967209999999999,0.3587029999999999
